Time A1 (s),Pressure A1 (mmHg),Volume A1 (μl)
2.943,14.3958,36.7854
2.944,20.1459,37.0448
2.945,26.4742,37.3724
2.946,33.1381,37.7295
2.947,39.876,38.0601
2.948,46.5377,38.3095
2.949,53.011,38.4251
2.950,59.1575,38.474
2.951,65.0604,38.5137
2.952,70.8611,38.4411
2.953,76.584,38.3039
2.954,81.891,38.0751
2.955,86.1948,37.782
2.956,89.2217,37.5482
2.957,91.1778,37.3762
2.958,92.3456,37.205
2.959,93.0598,37.0686
2.960,93.5379,36.8725
2.961,93.9328,36.6734
2.962,94.2309,36.4037
2.963,94.4874,36.0717
2.964,94.6585,35.6489
2.965,94.7637,35.0866
2.966,94.7512,34.4212
2.967,94.5969,33.6536
2.968,94.2755,32.735
2.969,93.8115,31.6894
2.970,93.2269,30.5292
2.971,92.5039,29.2732
2.972,91.6688,28.0776
2.973,90.707,26.9301
2.974,89.6258,25.9412
2.975,88.4273,25.0663
2.976,87.1204,24.2829
2.977,85.7757,23.6306
2.978,84.4066,23.0508
2.979,82.9994,22.575
2.980,81.5912,22.1502
2.981,80.141,21.7427
2.982,78.5406,21.3922
2.983,76.6932,21.0668
2.984,74.3253,20.7343
2.985,70.3892,20.4622
2.986,64.0978,20.1487
2.987,58.0493,19.8493
2.988,52.8926,19.6144
2.989,47.8957,19.4422
2.990,42.8993,19.4128
2.991,37.9449,19.4799
2.992,33.2872,19.6187
2.993,28.9935,19.8458
2.994,24.9946,20.0923
2.995,21.2566,20.4019
2.996,17.8362,20.7018
2.997,14.8047,20.9928
2.998,12.151,21.268
2.999,9.85212,21.4601
3.000,7.86946,21.6458
3.001,6.29078,21.8432
3.002,5.08593,22.0172
3.003,4.19841,22.2161
3.004,3.62028,22.4061
3.005,3.25482,22.5979
3.006,3.05759,22.8656
3.007,2.94059,23.1585
3.008,2.89494,23.5369
3.009,2.89806,23.9842
3.010,2.92922,24.5119
3.011,2.93389,25.138
3.012,2.93924,25.8067
3.013,2.973,26.5148
3.014,3.02552,27.1684
3.015,3.09244,27.7042
3.016,3.18516,28.2332
3.017,3.29428,28.7085
3.018,3.44108,29.1619
3.019,3.55422,29.6149
3.020,3.69598,30.0486
3.021,3.82405,30.5006
3.022,3.95373,31.0116
3.023,4.06281,31.5588
3.024,4.18166,32.1742
3.025,4.2918,32.797
3.026,4.41577,33.4224
3.027,4.53676,34.0727
3.028,4.64848,34.7085
3.029,4.75616,35.3454
3.030,4.86831,35.8843
3.031,4.97397,36.3027
3.032,5.0968,36.6029
3.033,5.2183,36.7362
3.034,5.31859,36.8184
3.035,5.42877,36.8498
3.036,5.51733,36.8119
3.037,5.60455,36.7269
3.038,5.69288,36.6474
3.039,5.75256,36.5867
3.040,5.79265,36.633
3.041,5.8253,36.6918
3.042,5.87268,36.7955
3.043,5.88795,36.9091
3.044,5.90816,37.0624
3.045,5.90342,37.2684
3.046,5.91665,37.4621
3.047,5.92927,37.6373
3.048,5.95753,37.6875
3.049,5.96779,37.5869
3.050,5.99829,37.4169
3.051,6.02383,37.1698
3.052,6.07313,36.8953
3.053,6.20312,36.6266
3.054,6.44518,36.3199
3.055,6.84887,36.0569
3.056,7.54137,35.9252
3.057,8.64554,35.8673
3.058,10.4753,35.9687
3.059,14.053,36.157
3.060,19.8097,36.4782
3.061,26.2477,36.8843
3.062,33.082,37.3226
3.063,40.1718,37.7698
3.064,47.1801,38.0888
3.065,53.9111,38.3127
3.066,60.2874,38.4596
3.067,66.301,38.5091
3.068,72.1351,38.491
3.069,78.0125,38.3927
3.070,83.7442,38.1647
3.071,88.5677,37.8809
3.072,92.0517,37.5696
3.073,94.3622,37.2652
3.074,95.7813,37.0442
3.075,96.5275,36.8034
3.076,96.9551,36.5665
3.077,97.2036,36.3058
3.078,97.3821,36.036
3.079,97.5206,35.7111
3.080,97.6253,35.2753
3.081,97.6551,34.7605
3.082,97.6341,34.129
3.083,97.5322,33.4032
3.084,97.305,32.6145
3.085,96.9454,31.7122
3.086,96.4667,30.6582
3.087,95.869,29.5171
3.088,95.1291,28.2955
3.089,94.299,27.1584
3.090,93.3792,26.1568
3.091,92.3279,25.2662
3.092,91.1527,24.5397
3.093,89.897,23.8849
3.094,88.5971,23.3248
3.095,87.2402,22.8435
3.096,85.8464,22.4403
3.097,84.3802,22.1139
3.098,82.8042,21.8004
3.099,80.9884,21.517
3.100,78.7328,21.2626
3.101,75.1714,20.9937
3.102,69.2074,20.718
3.103,62.9991,20.4242
3.104,57.7436,20.091
3.105,52.7094,19.8482
3.106,47.6376,19.6931
3.107,42.5548,19.6516
3.108,37.7637,19.7159
3.109,33.3434,19.8312
3.110,29.2245,20.0145
3.111,25.4061,20.2454
3.112,21.8489,20.5392
3.113,18.5493,20.8603
3.114,15.624,21.1359
3.115,13.0766,21.4084
3.116,10.8376,21.6137
3.117,8.96826,21.8029
3.118,7.49623,22.0027
3.119,6.40622,22.1955
3.120,5.62136,22.3928
3.121,5.0844,22.6265
3.122,4.7315,22.8835
3.123,4.51195,23.2255
3.124,4.36577,23.6066
3.125,4.26511,24.0438
3.126,4.18103,24.5626
3.127,4.14225,25.1494
3.128,4.1014,25.8484
3.129,4.10084,26.5659
3.130,4.11293,27.2561
3.131,4.15866,27.9285
3.132,4.21284,28.4659
3.133,4.30455,28.9751
3.134,4.41042,29.4383
3.135,4.51357,29.8909
3.136,4.61122,30.3954
3.137,4.69624,30.8849
3.138,4.79293,31.3397
3.139,4.90704,31.8541
3.140,5.00039,32.4016
3.141,5.07614,32.9958
3.142,5.17416,33.6408
3.143,5.26639,34.2834
3.144,5.35192,34.9775
3.145,5.46043,35.6481
3.146,5.5549,36.3094
3.147,5.64869,36.8819
3.148,5.74272,37.2628
3.149,5.82138,37.5612
3.150,5.8992,37.7217
3.151,5.97617,37.8271
3.152,6.0368,37.898
3.153,6.09508,37.9047
3.154,6.14634,37.8727
3.155,6.19708,37.8608
3.156,6.21104,37.8144
