Time C2,Pressure C2, Volume C2
8.866666667,26.3154,43.1819
8.883333333,30.3937,43.4759
8.9,34.1821,43.71
8.916666667,37.5987,43.8951
8.933333333,40.6446,43.9955
8.95,43.341,43.9633
8.966666667,45.6192,43.8262
8.983333333,47.4862,43.5951
9,48.9796,43.2668
9.016666667,50.1814,42.849
9.033333333,51.1296,42.3215
9.05,51.9371,41.6731
9.066666667,52.5787,40.9124
9.083333333,53.0698,40.0513
9.1,53.4103,39.0933
9.116666667,53.6363,38.0395
9.133333333,53.6995,36.896
9.15,53.6236,35.6735
9.166666667,53.4029,34.4023
9.183333333,53.1014,33.1284
9.2,52.7002,31.8737
9.216666667,52.1851,30.6979
9.233333333,51.604,29.5717
9.25,51.0151,28.5299
9.266666667,50.4482,27.5149
9.283333333,49.9872,26.4993
9.3,49.5877,25.5134
9.316666667,49.3046,24.5528
9.333333333,48.9981,23.6597
9.35,48.554,22.8756
9.366666667,47.928,22.1642
9.383333333,47.1546,21.5086
9.4,46.2097,20.9243
9.416666667,45.1398,20.4178
9.433333333,43.9304,19.965
9.45,42.5968,19.5228
9.466666667,41.1147,19.1205
9.483333333,39.5404,18.7477
9.5,37.7708,18.4209
9.516666667,35.4802,18.1259
9.533333333,32.5012,17.8773
9.55,29.7806,17.6627
9.566666667,27.3795,17.4821
9.583333333,25.0712,17.324
9.6,22.5957,17.1878
9.616666667,20.0764,17.0474
9.633333333,17.8451,16.929
9.65,16.1466,16.8139
9.666666667,14.7587,16.7183
9.683333333,13.5071,16.6339
9.7,12.3583,16.577
9.716666667,11.3196,16.5329
9.733333333,10.3655,16.5222
9.75,9.438,16.5418
9.766666667,8.59917,16.5948
9.783333333,7.65207,16.6549
9.8,6.59912,16.753
9.816666667,5.63946,16.899
9.833333333,4.80037,17.0946
9.85,4.16052,17.3242
9.866666667,3.7015,17.5891
9.883333333,3.4695,17.8958
9.9,3.39712,18.2277
9.916666667,3.48109,18.5604
9.933333333,3.60612,18.896
9.95,3.7017,19.2319
9.966666667,3.74035,19.5797
9.983333333,3.74542,19.9409
10,3.7259,20.3224
10.01666667,3.72681,20.7102
10.03333333,3.6886,21.0963
10.05,3.64677,21.4623
10.06666667,3.60201,21.8335
10.08333333,3.58137,22.2061
10.1,3.54763,22.5694
10.11666667,3.53483,22.8905
10.13333333,3.53184,23.208
10.15,3.53133,23.5118
10.16666667,3.52796,23.8148
10.18333333,3.53435,24.0867
10.2,3.54131,24.3638
10.21666667,3.56157,24.6179
10.23333333,3.5843,24.8881
10.25,3.60753,25.1632
10.26666667,3.6344,25.4497
10.28333333,3.64469,25.7103
10.3,3.63635,25.9911
10.31666667,3.65879,26.2608
10.33333333,3.67315,26.5735
10.35,3.68694,26.9393
10.36666667,3.71744,27.3331
10.38333333,3.74382,27.695
10.4,3.75989,28.09
10.41666667,3.7888,28.5061
10.43333333,3.81571,28.9659
10.45,3.85537,29.4694
10.46666667,3.89461,30.0312
10.48333333,3.91968,30.6115
10.5,3.95101,31.2167
10.51666667,3.97146,31.8254
10.53333333,3.99366,32.4587
10.55,4.02678,33.0577
10.56666667,4.04482,33.6794
10.58333333,4.07126,34.3561
10.6,4.08101,35.0631
10.61666667,4.09661,35.7655
10.63333333,4.11015,36.4608
10.65,4.13517,37.1049
10.66666667,4.15609,37.7348
10.68333333,4.15639,38.3415
10.7,4.16443,38.9357
10.71666667,4.18247,39.4683
10.73333333,4.19239,39.992
10.75,4.19182,40.4368
10.76666667,4.20445,40.9145
10.78333333,4.20393,41.4635
