Time C2,Pressure C2, Volume C2
0.942,53.5511,43.0136
0.943,54.1003,42.0255
0.944,54.4954,40.9279
0.945,54.7787,39.7416
0.946,54.9197,38.507
0.947,54.9175,37.2144
0.948,54.7768,35.8441
0.949,54.5053,34.4289
0.95,54.1432,33.0647
0.951,53.6881,31.751
0.952,53.1537,30.5165
0.953,52.5851,29.3673
0.954,51.9817,28.2153
0.955,51.4444,27.0896
0.956,51.0522,25.9987
0.957,50.8018,24.9501
0.958,50.6149,23.9704
0.959,50.3396,23.071
0.96,49.9014,22.2719
0.961,49.2853,21.5808
0.962,48.49,20.9342
0.963,47.5415,20.3647
0.964,46.4025,19.828
0.965,45.1018,19.3614
0.966,43.6614,18.9422
0.967,42.0808,18.6061
0.968,40.3771,18.2858
0.969,38.4299,18.0095
0.97,35.7593,17.7549
0.971,32.7744,17.5531
0.972,30.1812,17.3667
0.973,27.8647,17.2179
0.974,25.5359,17.091
0.975,23.0424,17.01
0.976,20.5824,16.9236
0.977,18.4307,16.8515
0.978,16.7404,16.7143
0.979,15.3277,16.5594
0.98,14.0111,16.4552
0.981,12.8034,16.3772
0.982,11.7273,16.3302
0.983,10.7239,16.3139
0.984,9.76586,16.3346
0.985,8.80954,16.3968
0.986,7.85606,16.4811
0.987,6.91625,16.588
0.988,6.04302,16.7389
0.989,5.19588,16.9247
0.99,4.37193,17.1391
0.991,3.74961,17.3889
0.992,3.38805,17.6526
0.993,3.15308,17.9284
0.994,3.04148,18.2031
0.995,3.05871,18.4924
0.996,3.21134,18.7781
0.997,3.36249,19.0617
0.998,3.4531,19.3583
0.999,3.49632,19.6587
1,3.48925,19.9707
1.001,3.46146,20.2858
1.002,3.45704,20.6089
1.003,3.44227,20.9379
1.004,3.41627,21.2557
1.005,3.39883,21.5489
1.006,3.39421,21.8394
1.007,3.38375,22.1164
1.008,3.38742,22.3748
1.009,3.40171,22.6095
1.01,3.41908,22.8557
1.011,3.41209,23.098
1.012,3.42978,23.3787
1.013,3.44684,23.7054
1.014,3.4706,23.9793
1.015,3.48259,24.1525
1.016,3.5168,24.339
1.017,3.5315,24.5398
1.018,3.54759,24.7664
1.019,3.54902,25.005
1.02,3.58387,25.2803
1.021,3.61153,25.5808
1.022,3.63396,25.9155
1.023,3.6652,26.2604
1.024,3.7027,26.6527
1.025,3.71013,27.0759
1.026,3.73337,27.5319
1.027,3.76155,28.0177
1.028,3.80894,28.5419
1.029,3.81798,29.0882
1.03,3.84203,29.6646
1.031,3.86431,30.2545
1.032,3.89869,30.8365
1.033,3.90146,31.412
1.034,3.93157,32.0286
1.035,3.93808,32.6665
1.036,3.94684,33.2948
1.037,3.97696,33.9132
1.038,4.01672,34.5297
1.039,4.01534,35.137
1.04,4.02904,35.7361
1.041,4.03643,36.3184
1.042,4.03752,36.7974
1.043,4.04685,37.1895
1.044,4.0579,37.5917
1.045,4.06174,38.0253
1.046,4.05605,38.5485
1.047,4.05831,39.1286
1.048,4.07702,39.773
1.049,4.07936,40.4604
1.05,4.07609,41.2527
1.051,4.09102,42.0823
1.052,4.14096,42.7863
1.053,4.26585,43.3464
1.054,4.55094,43.8666
1.055,5.06927,44.4206
1.056,5.8907,45.0827
1.057,7.04708,45.7312
1.058,8.69626,46.3388
1.059,11.4531,46.8804
1.06,15.4651,47.3607
1.061,19.6599,47.7515
1.062,23.9347,48.1002
1.063,28.3283,48.3803
1.064,32.5353,48.589
1.065,36.4074,48.6876
1.066,39.9367,48.6985
1.067,43.0599,48.5926
1.068,45.7874,48.387
1.069,48.022,48.0613
1.07,49.8028,47.6266
1.071,51.2117,47.0667
1.072,52.374,46.3954
1.073,53.3073,45.6219
1.074,54.0669,44.7512
1.075,54.7007,43.7476
