Time C1,Pressure C1, Volume C1,Time C2,Pressure C2, Volume C2,Time C3,Pressure C3, Volume C3
0.499,1.6198,9.79639,0.314,17.7247,17.099,2.571,2.50609,21.9927
0.5,1.66589,10.2304,0.315,16.001,17.0026,2.572,2.49382,22.7424
0.501,1.72713,10.6799,0.316,14.5696,16.8952,2.573,2.5008,23.4792
0.502,1.77803,11.1498,0.317,13.2483,16.7785,2.574,2.5132,24.2486
0.503,1.86499,11.6175,0.318,12.0486,16.6959,2.575,2.52606,25.042
0.504,1.93212,12.0893,0.319,10.9858,16.6488,2.576,2.53706,25.8601
0.505,1.97488,12.5517,0.32,10.0141,16.6167,2.577,2.56721,26.6901
0.506,1.99936,13.0143,0.321,9.13235,16.6017,2.578,2.60853,27.4996
0.507,1.99632,13.4693,0.322,8.26836,16.6377,2.579,2.62505,28.2393
0.508,1.979,13.9222,0.323,7.19854,16.7323,2.58,2.65615,28.961
0.509,1.98143,14.3714,0.324,6.1697,16.8559,2.581,2.70179,29.6666
0.51,1.97398,14.8239,0.325,5.23672,17.0087,2.582,2.74804,30.365
0.511,1.96344,15.2647,0.326,4.46969,17.2042,2.583,2.79327,31.0366
0.512,1.93954,15.7006,0.327,3.86617,17.4303,2.584,2.84805,31.6923
0.513,1.95085,16.1227,0.328,3.47616,17.6853,2.585,2.87997,32.3321
0.514,1.94138,16.5406,0.329,3.26565,17.9749,2.586,2.94062,32.9207
0.515,1.96541,16.9522,0.33,3.21629,18.2722,2.587,2.99697,33.4272
0.516,1.9831,17.3613,0.331,3.31219,18.5835,2.588,3.05798,33.8748
0.517,2.00338,17.7425,0.332,3.44426,18.8878,2.589,3.12619,34.246
0.518,2.01832,18.1149,0.333,3.59247,19.1937,2.59,3.19017,34.6094
0.519,2.05079,18.4886,0.334,3.67708,19.5162,2.591,3.22289,34.9335
0.52,2.08733,18.8684,0.335,3.67298,19.8404,2.592,3.2835,35.2563
0.521,2.14422,19.2183,0.336,3.65936,20.171,2.593,3.31615,35.5439
0.522,2.18743,19.5682,0.337,3.62906,20.5032,2.594,3.37805,35.8921
0.523,2.24896,19.9286,0.338,3.60577,20.8459,2.595,3.41873,36.2584
0.524,2.301,20.3153,0.339,3.55275,21.1884,2.596,3.46319,36.5989
0.525,2.39765,20.7225,0.34,3.53037,21.5206,2.597,3.4926,36.8675
0.526,2.48904,21.1508,0.341,3.49991,21.8352,2.598,3.52775,37.0482
0.527,2.56206,21.5997,0.342,3.49863,22.1425,2.599,3.53644,37.2097
0.528,2.64789,22.0678,0.343,3.47754,22.4343,2.6,3.59115,37.4543
0.529,2.76765,22.5334,0.344,3.48211,22.7306,2.601,3.60973,37.7151
0.53,2.87996,23.0078,0.345,3.48294,23.0189,2.602,3.61423,37.9823
0.531,2.99244,23.4886,0.346,3.50254,23.32,2.603,3.61668,38.2281
0.532,3.08022,23.984,0.347,3.51828,23.6355,2.604,3.62277,38.4381
0.533,3.21098,24.4719,0.348,3.52957,23.9551,2.605,3.62185,38.628
0.534,3.28883,24.9555,0.349,3.51628,24.2572,2.606,3.62454,38.7899
0.535,3.37109,25.3505,0.35,3.5282,24.5556,2.607,3.6168,38.8859
0.536,3.44788,25.7272,0.351,3.53436,24.8366,2.608,3.6171,38.9437
0.537,3.50275,26.0332,0.352,3.5543,25.1173,2.609,3.59401,38.9539
0.538,3.50714,26.3596,0.353,3.54108,25.3813,2.61,3.5895,38.9144
0.539,3.51295,26.7329,0.354,3.57545,25.649,2.611,3.58964,38.8447
0.54,3.53361,27.1657,0.355,3.58099,25.8979,2.612,3.67489,38.7729
0.541,3.53808,27.6799,0.356,3.59395,26.178,2.613,3.87772,38.6852
0.542,3.52048,28.2139,0.357,3.6106,26.4902,2.614,4.30139,38.5899
0.543,3.52133,28.6777,0.358,3.64715,26.8704,2.615,5.06707,38.4574
0.544,3.5069,29.1543,0.359,3.67884,27.2872,2.616,6.28062,38.2868
0.545,3.52357,29.6157,0.36,3.69866,27.7234,2.617,7.96803,38.081
0.546,3.54355,30.1346,0.361,3.71906,28.1673,2.618,10.2441,37.8784
0.547,3.58613,30.7826,0.362,3.73628,28.703,2.619,13.3011,37.7273
0.548,3.75436,31.495,0.363,3.76697,29.3054,2.62,17.1723,37.5355
0.549,4.1372,32.2821,0.364,3.80724,29.8149,2.621,21.6104,37.2503
0.55,4.76022,33.0868,0.365,3.78113,30.2318,2.622,26.2752,36.9269
0.551,5.72536,33.9388,0.366,3.77036,30.6818,2.623,30.9928,36.5743
0.552,7.14553,34.7832,0.367,3.78602,31.1618,2.624,35.7732,36.204
0.553,9.25253,35.6288,0.368,3.79977,31.6786,2.625,40.5592,35.8007
0.554,12.6165,36.437,0.369,3.84425,32.2129,2.626,45.066,35.3233
