Time A1,Pressure A1,Volume A1,Time A2,Pressure A2,Volume A2,Time A3,Pressure A3,Volume A3
2.814,5.02101,38.7295,4.412,7.2561,27.1557,0.578,5.5514,19.0062
2.815,5.04983,38.81,4.413,7.30182,27.3856,0.579,5.58227,19.2179
2.816,5.10523,38.6655,4.414,7.34348,27.6547,0.58,5.62272,19.429
2.817,5.12791,38.4577,4.415,7.38499,27.9548,0.581,5.65934,19.6465
2.818,5.15492,38.2117,4.416,7.42168,28.2199,0.582,5.67744,19.8434
2.819,5.20347,37.9069,4.417,7.46437,28.4215,0.583,5.69851,20.035
2.82,5.28621,37.59,4.418,7.50159,28.6003,0.584,5.71996,20.2221
2.821,5.46861,37.284,4.419,7.52285,28.7204,0.585,5.73296,20.3958
2.822,5.7672,36.9975,4.42,7.54814,28.8683,0.586,5.75086,20.5638
2.823,6.29456,36.8418,4.421,7.54398,29.032,0.587,5.7565,20.7138
2.824,7.16985,36.7789,4.422,7.56573,29.1872,0.588,5.75546,20.8372
2.825,8.56146,36.8306,4.423,7.55782,29.2932,0.589,5.75477,20.9233
2.826,10.9084,37.0281,4.424,7.55319,29.4506,0.59,5.76624,20.9873
2.827,15.2812,37.2855,4.425,7.54652,29.643,0.591,5.76836,21.0221
2.828,20.9988,37.6872,4.426,7.54396,29.8349,0.592,5.79019,21.0618
2.829,27.3496,38.0589,4.427,7.53187,29.9886,0.593,5.80087,21.1003
2.83,34.0482,38.4221,4.428,7.55379,30.17,0.594,5.83626,21.1316
2.831,40.7895,38.7326,4.429,7.59536,30.3519,0.595,5.89625,21.1345
2.832,47.2958,38.916,4.43,7.74075,30.5841,0.596,5.98528,21.1407
2.833,53.4598,39.0334,4.431,8.04057,30.8924,0.597,6.12189,21.1521
2.834,59.2954,39.1414,4.432,8.65489,31.3054,0.598,6.34231,21.1644
2.835,64.9807,39.1048,4.433,9.92836,31.8058,0.599,6.68451,21.189
2.836,70.5982,38.9707,4.434,13.1857,32.3715,0.6,7.17221,21.2341
2.837,76.1075,38.6947,4.435,17.802,33.0325,0.601,7.89493,21.349
2.838,81.1269,38.355,4.436,23.0589,33.7243,0.602,8.96806,21.461
2.839,85.0307,38.0546,4.437,29.5183,34.4311,0.603,10.5185,21.5289
